Model,Window,K,Accuracy,Balanced Accuracy,G-Mean,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
StackingClassifier,4,35,0.53125,0.9614583333333333,0.52110999716404,0.9769335142469471,0.5430555555555555,0.5185676392572944,0.9261744966442953,0.44305555555555554,0.5136876006441223,0.9484259879437374,0.7027777777777777,0.6545924967658473,0.9917355371900827,0.4361111111111111,0.42896174863387976,1524.4373779296875
KNN,3,5,0.29953703703703705,0.8990740740740741,0.2983704017427572,0.9383145091225021,0.3425925925925926,0.3027823240589198,0.8397493285586393,0.2740740740740741,0.2564991334488735,0.85459940652819,0.30185185185185187,0.346072186836518,0.962536023054755,0.2796296296296296,0.3013972055888224,0.3991837501525879
StackingClassifier,4,41,0.5472222222222223,0.9791666666666666,0.5378606382710536,0.994475138121547,0.5291666666666667,0.5233516483516484,0.9728958630527818,0.4736111111111111,0.5,0.9651474530831099,0.7263888888888889,0.677461139896373,0.9844851904090267,0.4597222222222222,0.47421203438395415,2891.9977974891663
VotingClassifier,1,50,0.5555555555555556,0.9097222222222222,0.5427292777248679,0.9350649350649352,0.6111111111111112,0.5365853658536586,0.8757062146892656,0.5333333333333333,0.5517241379310345,0.8895027624309393,0.6944444444444444,0.6868131868131868,0.9380530973451328,0.38333333333333336,0.4339622641509434,447.08749233086905
StackingClassifier,2,43,0.5340277777777778,0.9680555555555554,0.5218709617288811,0.9809264305177112,0.55,0.5294117647058824,0.9758179231863442,0.4861111111111111,0.5102040816326531,0.9574468085106383,0.7083333333333334,0.6505102040816326,0.9580318379160637,0.39166666666666666,0.4259818731117825,1748.7063462734222
VotingClassifier,3,43,0.55,0.7981481481481482,0.53780632604812,0.8787632221318145,0.6351851851851852,0.49782293178519593,0.7122040072859745,0.5222222222222223,0.5053763440860215,0.7221684414327203,0.6611111111111111,0.7241379310344828,0.8750000000000001,0.3814814814814815,0.49047619047619045,96.3470408598582
GaussianNB,3,25,0.3337962962962963,0.36944444444444446,0.15080750314867733,0.7627118644067796,0.5351851851851852,0.3299086757990868,0.23817863397548164,0.6907407407407408,0.31798806479113384,0.0,0.09444444444444444,0.8947368421052632,0.18181818181818182,0.014814814814814815,0.14814814814814814,0.0758183002471923
XGBoost,1,44,0.5513888888888889,0.9583333333333334,0.5430862668128914,0.9655172413793104,0.49444444444444446,0.5297619047619048,0.9273743016759777,0.5388888888888889,0.5449438202247191,0.9513513513513514,0.7166666666666667,0.6789473684210526,0.989010989010989,0.45555555555555555,0.44565217391304346,1139.8242359161377
VotingClassifier,3,50,0.5546296296296296,0.8203703703703703,0.5443645517898493,0.9045226130653267,0.6277777777777778,0.518348623853211,0.7586821015138022,0.5481481481481482,0.5077186963979416,0.7365384615384615,0.65,0.702,0.8785046728971964,0.3925925925925926,0.5011820330969267,142.81427069505057
Random Forest,1,39,0.5625,0.9444444444444444,0.5517630078780856,0.932642487046632,0.6,0.5242718446601942,0.913946587537092,0.5,0.5732484076433121,0.9619565217391305,0.7222222222222222,0.6914893617021277,0.9684813753581661,0.42777777777777776,0.4556213017751479,43.020705699920654
StackingClassifier,4,33,0.5152777777777777,0.9666666666666667,0.5030949001974802,0.975609756097561,0.5097222222222222,0.48544973544973546,0.9667844522968198,0.425,0.44028776978417267,0.959404600811908,0.7097222222222223,0.6741424802110818,0.9647735442127966,0.4166666666666667,0.44709388971684055,1412.8917951583862
ExtraTrees,4,28,0.49756944444444445,0.9604166666666667,0.48793510116753763,0.983050847457627,0.46805555555555556,0.48419540229885055,0.943931866572037,0.4083333333333333,0.42670537010159654,0.9383561643835616,0.6736111111111112,0.6554054054054054,0.976271186440678,0.44027777777777777,0.4198675496688742,9.198397159576416
StackingClassifier,2,45,0.5506944444444445,0.9819444444444445,0.5425212512157966,0.993103448275862,0.5555555555555556,0.547945205479452,0.9887640449438202,0.5194444444444445,0.53125,0.97165991902834,0.6972222222222222,0.6587926509186351,0.9743589743589743,0.4305555555555556,0.45321637426900585,1802.1723670959475
StackingClassifier,3,45,0.5523148148148148,0.9689814814814814,0.5456282717749247,0.9868667917448405,0.5370370370370371,0.5513307984790875,0.9437559580552907,0.5092592592592593,0.5402750491159135,0.9525514771709938,0.7,0.6551126516464472,0.9926470588235294,0.46296296296296297,0.4562043795620438,1848.773024082184
StackingClassifier,1,45,0.5652777777777778,0.9486111111111111,0.5523419572270085,0.9887640449438202,0.5666666666666667,0.5795454545454546,0.9425287356321839,0.5111111111111111,0.5476190476190477,0.916030534351145,0.7611111111111111,0.6431924882629108,0.9504373177842567,0.4222222222222222,0.4662576687116564,1871.042076826096
TabNet,1,37,0.325,0.8277777777777778,0.3064069036284897,0.7758620689655172,0.45,0.2852112676056338,0.5567765567765568,0.17222222222222222,0.3333333333333333,0.9421965317919075,0.37222222222222223,0.4036144578313253,0.9915966386554621,0.3055555555555556,0.3107344632768362,154.15017104148865
StackingClassifier,1,37,0.5638888888888889,0.951388888888889,0.5529716964080649,0.9944134078212291,0.55,0.5561797752808989,0.9101796407185628,0.5,0.5844155844155844,0.916030534351145,0.7555555555555555,0.6384976525821596,0.9859154929577464,0.45,0.46285714285714286,1649.0986852645874
VotingClassifier,4,43,0.5479166666666667,0.8038194444444445,0.5362333910801278,0.8748481166464155,0.6236111111111111,0.48488120950323976,0.7148817802503477,0.5111111111111111,0.5125348189415042,0.7419122933141625,0.6694444444444444,0.7183308494783904,0.8793774319066148,0.3875,0.49380530973451325,183.1956070343653
Random Forest,4,38,0.5493055555555556,0.8979166666666666,0.5385657938853865,0.9308338720103425,0.5902777777777778,0.5139056831922612,0.8652081863091038,0.475,0.49067431850789095,0.8718300205620289,0.7083333333333334,0.6901217861975643,0.9229618548990277,0.4236111111111111,0.49432739059967584,107.12801551818848
StackingClassifier,2,41,0.5479166666666667,0.9708333333333333,0.5379119590683002,0.993006993006993,0.5277777777777778,0.5352112676056338,0.9903713892709767,0.5222222222222223,0.5122615803814714,0.950863213811421,0.7194444444444444,0.6590330788804071,0.9489051094890512,0.4222222222222222,0.4676923076923077,1701.4118423461914
XGBoost,2,35,0.5458333333333333,0.7104166666666667,0.5258288745655938,0.8304498269896193,0.6361111111111111,0.4516765285996055,0.598314606741573,0.5277777777777778,0.5397727272727273,0.6207865168539326,0.6888888888888889,0.7045454545454546,0.7775891341256367,0.33055555555555555,0.519650655021834,189.49522924423215
