Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
VotingClassifier,1,43,0.5569444444444445,0.5437199211332884,0.8844735495792446,0.5569444444444445,0.8523148148148149,0.932642487046632,0.5888888888888889,0.8148148148148148,0.8531855955678671,0.5444444444444444,0.8462962962962963,0.8429752066115703,0.7111111111111111,0.8981481481481481,0.9090909090909091,0.38333333333333336,0.85,438.9549250920614
ExtraTrees,1,43,0.5305555555555556,0.5193118136821833,0.9619071664363208,0.5305555555555556,0.8435185185185186,0.9863013698630138,0.5166666666666667,0.8296296296296296,0.9189189189189189,0.4777777777777778,0.8759259259259259,0.9424083769633509,0.7166666666666667,0.8648148148148148,1.0,0.4111111111111111,0.8037037037037037,4.817172527313232
StackingClassifier,3,33,0.5430555555555555,0.5356581632071892,0.9341035150933849,0.5430555555555555,0.8476851851851852,0.9897100093545369,0.524074074074074,0.8481481481481481,0.9067460317460319,0.47962962962962963,0.8709876543209877,0.8825112107623319,0.7018518518518518,0.8790123456790123,0.9574468085106383,0.4666666666666667,0.7925925925925926,17895.114239692688
HistGradientBoosting,2,33,0.5388888888888889,0.5295589514217888,0.9694391748633964,0.5388888888888889,0.8462962962962963,0.9795918367346939,0.5111111111111111,0.8231481481481482,0.9610027855153204,0.5111111111111111,0.8388888888888889,0.9598893499308436,0.7083333333333334,0.9,0.9772727272727273,0.425,0.8231481481481482,128.5950357913971
MLP,4,12,0.38333333333333336,0.3756549276092498,0.8378437588275389,0.3833333333333333,0.7944444444444444,0.9189534141671984,0.4444444444444444,0.7560185185185185,0.7807768268597762,0.40694444444444444,0.7657407407407407,0.7525622254758418,0.41944444444444445,0.8407407407407408,0.8990825688073394,0.2625,0.8152777777777778,124.19821763038637
VotingClassifier,2,41,0.5548611111111111,0.541106242402034,0.793828230478578,0.5548611111111111,0.8516203703703703,0.8674698795180723,0.6472222222222223,0.7805555555555556,0.7062146892655368,0.5,0.8444444444444444,0.7390691114245417,0.6861111111111111,0.9055555555555556,0.8625592417061612,0.3861111111111111,0.8759259259259259,144.2312983115514
AdaBoost,3,35,0.5472222222222223,0.5444079976361254,0.9257585309836016,0.5472222222222223,0.8490740740740741,0.9800362976406534,0.5296296296296297,0.8296296296296296,0.8772226926333616,0.5833333333333334,0.7987654320987654,0.8589083419155511,0.6092592592592593,0.937037037037037,0.9868667917448405,0.4666666666666667,0.8308641975308642,52.30264043807984
TabNet,3,37,0.4097222222222222,0.40884595556311426,0.8873387994500644,0.4097222222222222,0.8032407407407407,0.9863013698630138,0.4351851851851852,0.8024691358024691,0.89666951323655,0.42592592592592593,0.7524691358024691,0.7557603686635944,0.36666666666666664,0.9197530864197531,0.9106239460370995,0.4111111111111111,0.7382716049382716,826.2495849132538
GaussianNB,4,22,0.3315972222222222,0.14416834150960825,0.2933341671372425,0.33159722222222227,0.7771990740740741,0.7586933614330874,0.5333333333333333,0.6324074074074074,0.23053233611966567,0.6861111111111111,0.5097222222222222,0.0,0.09444444444444444,0.9962962962962963,0.18411097099621687,0.0125,0.9703703703703703,0.122591495513916
StackingClassifier,4,35,0.53125,0.52110999716404,0.9608173840062657,0.53125,0.8437500000000001,0.9769335142469471,0.5430555555555555,0.8319444444444445,0.9261744966442953,0.44305555555555554,0.8601851851851852,0.9484259879437374,0.7027777777777777,0.8763888888888889,0.9917355371900827,0.4361111111111111,0.8064814814814815,1524.4373779296875
